x,y,d,s,T
0.00279802,-0.00308196,-1.00000000,0.41035857,0.00000000
0.00278892,-0.00310528,-1.00000000,0.41301461,0.00000000
0.00277960,-0.00312851,-1.00000000,0.41567065,0.00000000
0.00277006,-0.00315165,-1.00000000,0.41567065,0.00000000
0.00276038,-0.00317474,-1.00000000,0.41832669,0.00000000
0.00275048,-0.00319773,-1.00000000,0.42098273,0.00000000
0.00274037,-0.00322063,-1.00000000,0.42098273,0.00000000
0.00273012,-0.00324346,-1.00000000,0.42363877,0.00000000
0.00271964,-0.00326619,-1.00000000,0.42629482,0.00000000
0.00270896,-0.00328883,-1.00000000,0.42629482,0.00000000
0.00269814,-0.00331141,-1.00000000,0.42895086,0.00000000
0.00268710,-0.00333387,-1.00000000,0.43160690,0.00000000
0.00267585,-0.00335624,-1.00000000,0.43160690,0.00000000
0.00266446,-0.00337853,-1.00000000,0.43426294,0.00000000
